province,points
California,85
Provence,85
Catalonia,85
Oregon,85
California,85
Bordeaux,85
Rapel Valley,85
California,85
Oregon,85
Mosel,85
California,85
Virginia,85
Southwest France,85
California,85
New York,85
California,85
Northern Spain,85
Other,85
California,85
Mendoza Province,85
Other,85
Pennsylvania,85
Southwest France,85
California,85
Mendoza Province,85
Marlborough,85
California,85
Recas,85
California,85
Burgundy,85
California,85
Marlborough,85
Tejo,85
Galilee,85
California,85
Naoussa,85
California,85
Thracian Valley,85
Marlborough,85
France Other,85
California,85
Provence,85
Veneto,85
Provence,85
Central Italy,85
Washington,85
California,85
France Other,85
California,85
Mendoza Province,85
Northern Spain,85
Provence,85
California,85
France Other,85
Piedmont,85
California,85
Provence,85
California,85
France Other,85
California,85
France Other,85
California,85
Washington,85
Sicily & Sardinia,85
Korinthia,85
Galilee,85
California,85
Sicily & Sardinia,85
Central Spain,85
Oregon,85
Rhône Valley,85
Oregon,85
California,85
Northern Spain,85
Nemea,85
Sicily & Sardinia,85
Northern Spain,85
Tuscany,85
Bordeaux,85
California,85
New York,85
Pfalz,85
Alentejano,85
California,85
New York,85
California,85
Catalonia,85
California,85
Tuscany,85
California,85
New York,85
Northern Spain,85
Pfalz,85
Vinho Verde,85
Douro,85
Alsace,85
Spanish Islands,85
Rheinhessen,85
Oregon,85
Israel,85
Oregon,85
Haut-Judeé,85
Northern Spain,85
California,85
New York,85
Central Spain,85
Northern Spain,85
Tuscany,85
Alentejano,85
Mendoza Province,85
Loire Valley,85
Douro,85
France Other,85
Colorado,85
France Other,85
Península de Setúbal,85
Mendoza Province,85
America,85
France Other,85
Loire Valley,85
Piedmont,85
Tejo,85
Loire Valley,85
France Other,85
South Australia,85
Alentejano,85
California,85
Beaujolais,85
Tuscany,85
California,85
Victoria,85
Loire Valley,85
Marlborough,85
Tuscany,85
Douro,85
Maule Valley,85
Western Australia,85
Tuscany,85
California,85
Central Valley,85
Tuscany,85
California,85
Tuscany,85
California,85
Tuscany,85
California,85
Colchagua Valley,85
California,85
Maule Valley,85
California,85
San Antonio,85
Oregon,85
California,85
Alentejano,85
Southwest France,85
Central Spain,85
Oregon,85
California,85
Northern Spain,85
Nemea,85
Rhône Valley,85
Leyda Valley,85
Southwest France,85
Northern Spain,85
Southwest France,85
Leyda Valley,85
Northern Spain,85
Southwest France,85
California,85
Maule Valley,85
Chile,85
Alentejano,85
Dão,85
Tuscany,85
Alentejano,85
Southwest France,85
California,85
Lisboa,85
Tuscany,85
California,85
Southwest France,85
Washington,85
Languedoc-Roussillon,85
Douro,85
New York,85
California,85
Casablanca Valley,85
Beaujolais,85
Palmela,85
California,85
Aconcagua Valley,85
Central Valley,85
Beaujolais,85
Northern Spain,85
Veneto,85
California,85
Canelones,85
Península de Setúbal,85
South Australia,85
Alentejano,85
Virginia,85
Bordeaux,85
Dão,85
Virginia,85
Alentejano,85
Galil,85
Tarnave,85
Veneto,85
California,85
Lisboa,85
Brazil,85
Western Australia,85
France Other,85
Maipo Valley,85
Bairrada,85
Bordeaux,85
Languedoc-Roussillon,85
Northern Spain,85
Apalta,85
California,85
Burgundy,85
New York,85
Maipo Valley,85
Northern Spain,85
Burgundy,85
Beaujolais,85
Languedoc-Roussillon,85
Washington,85
Beaujolais,85
Maipo Valley,85
Cachapoal Valley,85
Maipo Valley,85
California,85
Piedmont,85
Central Valley,85
Maule Valley,85
Piedmont,85
California,85
Colchagua Valley,85
Piedmont,85
Colchagua Valley,85
Burgundy,85
Washington,85
Piedmont,85
Chile,85
Maipo Valley,85
Catalonia,85
California,85
Levante,85
California,85
Northern Spain,85
Vermont,85
California,85
Ontario,85
Northern Spain,85
California,85
Estremadura,85
California,85
Alentejano,85
Douro,85
Idaho,85
Virginia,85
Alentejano,85
Levante,85
Galilee,85
South Australia,85
California,85
Catalonia,85
Northern Spain,85
Catalonia,85
Northeastern Italy,85
Lombardy,85
California,85
Burgundy,85
Piedmont,85
Lisboa,85
Mendoza Province,85
Other,85
California,85
Galilee,85
Burgundy,85
South Australia,85
Burgundy,85
Tejo,85
Virginia,85
Vinho Verde,85
Alentejano,85
Burgundy,85
Australia Other,85
Northeastern Italy,85
Oregon,85
Durbanville,85
Robertson,85
California,85
Southwest France,85
Loire Valley,85
California,85
Loire Valley,85
Wachau,85
Northeastern Italy,85
California,85
Loire Valley,85
California,85
Northeastern Italy,85
Southwest France,85
California,85
Niederösterreich,85
Southwest France,85
California,85
Northeastern Italy,85
California,85
Northern Spain,85
Bío Bío Valley,85
Italy Other,85
California,85
Piedmont,85
Mendoza Province,85
Maipo Valley,85
California,85
Washington,85
California,85
Limarí Valley,85
Italy Other,85
Piedmont,85
Mendoza Province,85
California,85
Colchagua Valley,85
Western Australia,85
California,85
Ica,85
Virginia,85
Alsace,85
California,85
Burgundy,85
Arizona,85
Texas,85
California,85
Mendoza Province,85
Loire Valley,85
Other,85
Washington,85
Serra Gaúcha,85
Mendoza Province,85
California,85
Mendoza Province,85
Tuscany,85
Washington,85
Mendoza Province,85
Tuscany,85
Northern Spain,85
Loire Valley,85
Mendoza Province,85
Washington,85
New York,85
California,85
Burgundy,85
Washington,85
Burgundy,85
Moldova,85
Burgundy,85
California,85
Kakheti,85
Loire Valley,85
Mendoza Province,85
Texas,85
Mendoza Province,85
California,85
Mendoza Province,85
California,85
Mendoza Province,85
Central Valley,85
California,85
Burgundy,85
Mendoza Province,85
California,85
Maule Valley,85
Washington,85
New York,85
Pennsylvania,85
California,85
Washington,85
New York,85
Burgundy,85
Virginia,85
Northeastern Italy,85
Texas,85
Mendoza Province,85
New Mexico,85
California,85
Northeastern Italy,85
Burgundy,85
Northern Spain,85
California,85
Veneto,85
Northern Spain,85
Pitsilia Mountains,85
Corinth,85
California,85
Germany,85
California,85
Veneto,85
Oregon,85
Rapel Valley,85
Central Italy,85
Veneto,85
California,85
Burgenland,85
Veneto,85
New York,85
California,85
Piedmont,85
California,85
Limarí Valley,85
Italy Other,85
Piedmont,85
Oregon,85
Colchagua Valley,85
California,85
Veneto,85
Piedmont,85
California,85
Tuscany,85
California,85
Mendoza Province,85
California,85
Central Italy,85
Santorini,85
California,85
Northeastern Italy,85
Stellenbosch,85
Mavrodaphne of Patras,85
California,85
Southwest France,85
Oregon,85
Swartland,85
Oregon,85
California,85
Stellenbosch,85
Pageon,85
California,85
Mendoza Province,85
Robertson,85
Tuscany,85
Mendoza Province,85
California,85
Attica,85
California,85
Rheinhessen,85
Northern Spain,85
California,85
France Other,85
Oregon,85
California,85
Bordeaux,85
Oregon,85
Sicily & Sardinia,85
California,85
Alentejano,85
California,85
Oregon,85
Veneto,85
Northern Spain,85
Tejo,85
California,85
Alentejo,85
Estremadura,85
Northern Spain,85
Malleco,85
Península de Setúbal,85
California,85
Burgundy,85
California,85
Northeastern Italy,85
California,85
Lombardy,85
Bordeaux,85
California,85
Veneto,85
Vinho Verde,85
Southwest France,85
California,85
Northeastern Italy,85
California,85
Cachapoal Valley,85
Beaujolais,85
Tejo,85
Burgundy,85
California,85
Bordeaux,85
California,85
Tejo,85
Tuscany,85
California,85
Casablanca Valley,85
Champagne,85
California,85
Maule Valley,85
Tejo,85
California,85
Bordeaux,85
California,85
Burgundy,85
Casablanca Valley,85
New York,85
Tejo,85
Lombardy,85
California,85
Bordeaux,85
Burgundy,85
Lisboa,85
California,85
Southwest France,85
California,85
Tejo,85
California,85
Vinho Verde,85
Washington,85
France Other,85
California,85
Virginia,85
California,85
Douro,85
Alentejano,85
California,85
Dealu Mare,85
Brazil,85
Bordeaux,85
Cachapoal Valley,85
Bordeaux,85
Southwest France,85
Veneto,85
Casablanca Valley,85
France Other,85
California,85
Tejo,85
Campanha,85
Northern Spain,85
Mendoza Province,85
California,85
Northern Spain,85
Other,85
California,85
Northern Spain,85
Loire Valley,85
Bordeaux,85
Chile,85
Washington,85
Northern Spain,85
Burgundy,85
Maipo Valley,85
Burgundy,85
Languedoc-Roussillon,85
Washington,85
Northern Spain,85
California,85
Burgundy,85
Northern Spain,85
California,85
Northern Spain,85
Catalonia,85
Burgundy,85
Beaujolais,85
Burgundy,85
Piedmont,85
California,85
Beaujolais,85
Burgundy,85
Central Spain,85
California,85
Burgundy,85
New York,85
California,85
Limarí Valley,85
New South Wales,85
California,85
Mendoza Province,85
California,85
Mendoza Province,85
Vinho Espumante de Qualidade,85
Other,85
Vinho Verde,85
Northern Spain,85
California,85
Western Cape,85
Washington,85
Mendoza Province,85
South Australia,85
Australia Other,85
Loire Valley,85
California,85
Mendoza Province,85
California,85
Victoria,85
Mendoza Province,85
South Australia,85
Tuscany,85
Robertson,85
Piedmont,85
California,85
Dealurile Munteniei,85
Idaho,85
Mendoza Province,85
Virginia,85
Idaho,85
Burgundy,85
Alentejano,85
Mendoza Province,85
Vinho Verde,85
Vinho Espumante de Qualidade,85
Península de Setúbal,85
Mendoza Province,85
Levante,85
Veneto,85
Central Italy,85
Lombardy,85
Bairrada,85
America,85
Central Italy,85
New York,85
California,85
Mendoza Province,85
California,85
Península de Setúbal,85
Burgundy,85
California,85
Other,85
Oregon,85
California,85
Mendoza Province,85
California,85
Northern Spain,85
California,85
Galicia,85
California,85
Tejo,85
Lisboa,85
South Australia,85
California,85
Northeastern Italy,85
California,85
Mendoza Province,85
Bordeaux,85
California,85
Mendoza Province,85
California,85
Tejo,85
Washington,85
Australia Other,85
California,85
Northern Spain,85
California,85
Mendoza Province,85
California,85
Mendoza Province,85
California,85
Washington,85
California,85
Washington,85
California,85
Champagne,85
Washington,85
California,85
Champagne,85
California,85
Champagne,85
California,85
Štajerska,85
Washington,85
Burgundy,85
Central Italy,85
Provence,85
Piedmont,85
Maipo Valley,85
Bordeaux,85
Maule Valley,85
Bordeaux,85
New York,85
Piedmont,85
Alsace,85
Cachapoal Valley,85
Alsace,85
Colchagua Valley,85
California,85
Alsace,85
Bordeaux,85
New York,85
Alentejano,85
New York,85
Alsace,85
California,85
Tejo,85
Maipo Valley,85
Alsace,85
California,85
Bordeaux,85
Curicó Valley,85
Northern Spain,85
Maule Valley,85
Vinho Verde,85
Oregon,85
Vinho Verde,85
Palmela,85
Oregon,85
California,85
Alentejo,85
Lisboa,85
Northern Spain,85
Central Spain,85
Vinho Verde,85
Loire Valley,85
Bordeaux,85
Lisboa,85
Vinho Verde,85
Oregon,85
Washington,85
Levante,85
Casablanca Valley,85
Colchagua Valley,85
Franken,85
New York,85
California,85
Alsace,85
California,85
Bordeaux,85
California,85
Alentejo,85
Douro,85
California,85
New York,85
Western Cape,85
California,85
New York,85
California,85
Washington,85
Southern Italy,85
Washington,85
Central Spain,85
California,85
Washington,85
Burgundy,85
California,85
New York,85
California,85
Burgundy,85
Washington,85
Burgundy,85
Washington,85
Central Spain,85
Sicily & Sardinia,85
Burgundy,85
Washington,85
Northern Spain,85
Sicily & Sardinia,85
Southern Italy,85
New York,85
California,85
Northern Spain,85
California,85
Rhône Valley,85
Other,85
Washington,85
Italy Other,85
California,85
Northeastern Italy,85
California,85
Sicily & Sardinia,85
California,85
Virginia,85
Rhône Valley,85
California,85
Colchagua Valley,85
Sicily & Sardinia,85
California,85
Washington,85
California,85
Southwest France,85
Mendoza Province,85
New York,85
Virginia,85
California,85
Loire Valley,85
Mendoza Province,85
Washington,85
Northern Spain,85
Tuscany,85
Rhône Valley,85
Northeastern Italy,85
Thracian Valley,85
Tejo,85
Mendoza Province,85
Oregon,85
Michigan,85
Oregon,85
California,85
Northern Spain,85
Tejo,85
Levante,85
Central Spain,85
California,85
Washington,85
Central Italy,85
Dão,85
Lisboa,85
Oregon,85
Douro,85
California,85
Alentejano,85
Other,85
Casablanca Valley,85
California,85
Southern Italy,85
Leyda Valley,85
California,85
Colchagua Valley,85
California,85
Southern Italy,85
Veneto,85
Bordeaux,85
Veneto,85
Rapel Valley,85
Bordeaux,85
California,85
Samos,85
California,85
Crete,85
California,85
Champagne,85
California,85
Vinho Espumante,85
Tuscany,85
Douro,85
California,85
Provence,85
Central Italy,85
Northern Spain,85
France Other,85
California,85
Tejo,85
California,85
Languedoc-Roussillon,85
California,85
Douro,85
California,85
Central Italy,85
California,85
France Other,85
Catalonia,85
Northern Spain,85
Tuscany,85
Spain Other,85
Provence,85
California,85
Bordeaux,85
California,85
Tuscany,85
Washington,85
France Other,85
California,85
Washington,85
Tuscany,85
Northern Spain,85
Spain Other,85
Levante,85
Northern Spain,85
Tuscany,85
Bordeaux,85
Champagne,85
Washington,85
Galicia,85
Washington,85
Bordeaux,85
Washington,85
California,85
Curicó Valley,85
Washington,85
Burgundy,85
California,85
Marlborough,85
Drama,85
Washington,85
Pafos,85
Crete,85
California,85
Burgundy,85
California,85
Piedmont,85
Marlborough,85
Washington,85
California,85
Bordeaux,85
Rapel Valley,85
California,85
Oregon,85
Mosel,85
California,85
Northern Spain,85
Provence,85
Central Italy,85
Colchagua Valley,85
Casablanca Valley,85
Oregon,85
California,85
Washington,85
Oregon,85
Northern Spain,85
California,85
Washington,85
California,85
Northern Spain,85
Veneto,85
Mendoza Province,85
Veneto,85
Oregon,85
California,85
Burgundy,85
California,85
Veneto,85
Alsace,85
California,85
Tejo,85
Veneto,85
California,85
Mendoza Province,85
Veneto,85
Northeastern Italy,85
Marlborough,85
California,85
Central Otago,85
Veneto,85
Other,85
Mendoza Province,85
Burgundy,85
California,85
Bordeaux,85
California,85
Levante,85
California,85
Washington,85
California,85
Northern Spain,85
Bordeaux,85
Rhône Valley,85
New York,85
California,85
Northern Spain,85
California,85
Bordeaux,85
California,85
Northern Spain,85
California,85
Washington,85
California,85
Alsace,85
New York,85
Washington,85
New York,85
Virginia,85
California,85
Virginia,85
Provence,85
California,85
Mendoza Province,85
Marlborough,85
Alsace,85
Shomron,85
California,85
Colchagua Valley,85
Mendoza Province,85
Lombardy,85
California,85
Maipo Valley,85
Northeastern Italy,85
South Australia,85
Washington,85
Burgundy,85
New York,85
Washington,85
Southern Italy,85
Burgundy,85
New York,85
Sicily & Sardinia,85
Mantinia,85
Washington,85
Sicily & Sardinia,85
Burgundy,85
Washington,85
California,85
New York,85
Peloponnese,85
California,85
Washington,85
Burgundy,85
Northern Spain,85
California,85
Southwest France,85
California,85
Washington,85
California,85
Virginia,85
Burgundy,85
Southwest France,85
Mendoza Province,85
California,85
Mendoza Province,85
Northern Spain,85
New Mexico,85
California,85
Mendoza Province,85
California,85
Washington,85
Alsace,85
California,85
Washington,85
Alsace,85
Washington,85
Nemea,85
Oregon,85
Northern Spain,85
Tejo,85
Southwest France,85
Maule Valley,85
Northern Spain,85
Southwest France,85
California,85
Rhône Valley,85
Northern Spain,85
Tuscany,85
Oregon,85
Southwest France,85
Northern Spain,85
Central Spain,85
California,85
Colchagua Valley,85
Bío Bío Valley,85
Levante,85
California,85
Maule Valley,85
California,85
Tuscany,85
Southwest France,85
Catalonia,85
Northern Spain,85
Tuscany,85
Casablanca Valley,85
California,85
Mendoza Province,85
Northern Spain,85
Australia Other,85
Mendoza Province,85
California,85
Mendoza Province,85
Burgenland,85
Northern Spain,85
California,85
Mendoza Province,85
Burgenland,85
Rhône Valley,85
California,85
Southern Italy,85
Burgundy,85
California,85
Central Spain,85
Western Australia,85
California,85
Provence,85
Burgundy,85
Oregon,85
Bordeaux,85
Languedoc-Roussillon,85
Champagne,85
Oregon,85
California,85
Piedmont,85
California,85
Cachapoal Valley,85
Northern Spain,85
California,85
Washington,85
Tejo,85
California,85
Chile,85
Washington,85
Central Valley,85
France Other,85
Victoria,85
Central Valley,85
Burgundy,85
California,85
Tejo,85
Washington,85
Tejo,85
Washington,85
California,85
Washington,85
Tejo,85
Tuscany,85
Tejo,85
Curicó Valley,85
Colchagua Valley,85
California,85
Central Italy,85
Maipo Valley,85
Alsace,85
Cachapoal Valley,85
Leyda Valley,85
Central Italy,85
California,85
Washington,85
California,85
Alsace,85
Cachapoal Valley,85
Alsace,85
Central Italy,85
New York,85
Galicia,85
Missouri,85
Burgundy,85
California,85
Levante,85
Burgundy,85
New York,85
Catalonia,85
Burgundy,85
California,85
New York,85
Washington,85
California,85
Central Spain,85
Levante,85
Burgundy,85
Washington,85
Northern Spain,85
Rheinhessen,85
Mendoza Province,85
California,85
Rhône Valley,85
Levante,85
California,85
Mendoza Province,85
California,85
Central Italy,85
Bordeaux,85
Rhône Valley,85
Bordeaux,85
California,85
Washington,85
California,85
France Other,85
California,85
Central Italy,85
France Other,85
Provence,85
France Other,85
Central Italy,85
California,85
Mendoza Province,85
California,85
Northern Spain,85
California,85
Provence,85
Washington,85
France Other,85
New York,85
Northeastern Italy,85
California,85
Provence,85
France Other,85
Provence,85
California,85
Mendoza Province,85
New York,85
Southern Italy,85
Mendoza Province,85
California,85
Washington,85
California,85
Northern Spain,85
Washington,85
Sicily & Sardinia,85
Washington,85
California,85
Beaujolais,85
Virginia,85
California,85
Washington,85
California,85
Mendoza Province,85
Alsace,85
California,85
Catalonia,85
California,85
Northern Spain,85
Washington,85
Beaujolais,85
California,85
Virginia,85
Lombardy,85
California,85
Provence,85
Port,85
Vinho Verde,85
Burgundy,85
Bordeaux,85
Lisboa,85
California,85
Tejo,85
Central Valley,85
Bordeaux,85
Idaho,85
California,85
Lisboa,85
California,85
Douro,85
California,85
Oregon,85
Northern Spain,85
Tejo,85
California,85
Casablanca Valley,85
California,85
Northern Spain,85
Catalonia,85
California,85
Washington,85
Mendoza Province,85
Levante,85
Maule Valley,85
Southwest France,85
California,85
Loire Valley,85
Bordeaux,85
Sicily & Sardinia,85
California,85
New York,85
Wairarapa,85
Washington,85
Bordeaux,85
Maule Valley,85
Leyda Valley,85
California,85
Washington,85
California,85
Central Valley,85
New York,85
Sicily & Sardinia,85
Washington,85
Sicily & Sardinia,85
Bordeaux,85
Maule Valley,85
Bordeaux,85
Chile,85
California,85
Southern Italy,85
Sicily & Sardinia,85
Alentejano,85
Sicily & Sardinia,85
Australia Other,85
Washington,85
Sicily & Sardinia,85
Ribatejano,85
Washington,85
Mendoza Province,85
California,85
Mendoza Province,85
California,85
Tuscany,85
New York,85
Northern Spain,85
California,85
Catalonia,85
New York,85
California,85
Cape South Coast,85
Bordeaux,85
New York,85
Robertson,85
Catalonia,85
California,85
Galicia,85
California,85
Virginia,85
Catalonia,85
Northern Spain,85
New York,85
Bordeaux,85
Washington,85
California,85
Rhône Valley,85
California,85
Levante,85
Tuscany,85
Bordeaux,85
Tuscany,85
Bordeaux,85
Washington,85
California,85
Awatere Valley,85
Bordeaux,85
Northern Spain,85
Tuscany,85
Veneto,85
Maule Valley,85
Alsace,85
California,85
New York,85
California,85
New York,85
Maule Valley,85
Colchagua Valley,85
Alsace,85
Maipo Valley,85
New York,85
Ica,85
Illinois,85
Nevada,85
California,85
Elqui Valley,85
Washington,85
Colchagua Valley,85
Lontué Valley,85
New York,85
Uruguay,85
Provence,85
California,85
Valle de Guadalupe,85
California,85
Burgundy,85
Central Valley,85
Veneto,85
California,85
Andalucia,85
California,85
Tuscany,85
California,85
Bordeaux,85
New South Wales,85
Mendoza Province,85
Tuscany,85
Bordeaux,85
Niederösterreich,85
Austria,85
Niederösterreich,85
California,85
Tuscany,85
Niederösterreich,85
California,85
Mendoza Province,85
Tuscany,85
California,85
Central Italy,85
Bordeaux,85
Douro,85
Tejo,85
Alentejano,85
Tejo,85
Lisboa,85
Vinho Verde,85
Bordeaux,85
Baden,85
California,85
Northern Spain,85
Bordeaux,85
Oregon,85
Lombardy,85
Northern Spain,85
Württemberg,85
Bordeaux,85
California,85
Italy Other,85
Lombardy,85
Douro,85
Bordeaux,85
Northern Spain,85
Oregon,85
Maipo Valley,85
Maule Valley,85
Lombardy,85
Lisboa,85
California,85
Western Cape,85
Curicó Valley,85
California,85
Marlborough,85
South Australia,85
Australia Other,85
Burgundy,85
California,85
Washington,85
Burgundy,85
California,85
Central Valley,85
California,85
Victoria,85
Washington,85
Mendoza Province,85
Burgundy,85
Washington,85
Rhône Valley,85
California,85
Veneto,85
Alsace,85
California,85
Veneto,85
Tejo,85
Veneto,85
California,85
Virginia,85
Central Spain,85
Levante,85
Colchagua Valley,85
Northern Spain,85
Casablanca Valley,85
Australia Other,85
Veneto,85
Central Valley,85
South Australia,85
Australia Other,85
California,85
Leyda Valley,85
Alentejano,85
Oregon,85
California,85
Colchagua Valley,85
Spain Other,85
Veneto,85
Casablanca Valley,85
Catalonia,85
France Other,85
Northeastern Italy,85
Lisboa,85
Beaujolais,85
Veneto,85
Marlborough,85
Veneto,85
California,85
Alentejano,85
Oregon,85
Lisboa,85
Veneto,85
California,85
South Australia,85
California,85
Tejo,85
Michigan,85
Northern Spain,85
Tejo,85
Rheinhessen,85
Northeastern Italy,85
Mendoza Province,85
Northeastern Italy,85
Oregon,85
Rheinhessen,85
Western Cape,85
Northeastern Italy,85
Loire Valley,85
California,85
Alentejano,85
Oregon,85
California,85
Douro,85
Northern Spain,85
Oregon,85
Northeastern Italy,85
California,85
Veneto,85
Champagne,85
Catalonia,85
California,85
Marlborough,85
California,85
Veneto,85
California,85
Veneto,85
California,85
Loire Valley,85
Oregon,85
Veneto,85
California,85
Catalonia,85
Levante,85
Ontario,85
California,85
Oregon,85
Veneto,85
Mendoza Province,85
Veneto,85
Central Valley,85
Maipo Valley,85
Stellenbosch,85
Colchagua Valley,85
Central Italy,85
France Other,85
Stellenbosch,85
Southern Italy,85
California,85
Oregon,85
California,85
Southern Italy,85
Greece,85
California,85
Loire Valley,85
Bordeaux,85
Pangeon,85
Mendoza Province,85
Hawke's Bay,85
Provence,85
America,85
Central Italy,85
New York,85
California,85
Mendoza Province,85
California,85
Burgundy,85
Alentejano,85
Virginia,85
California,85
Idaho,85
Burgundy,85
Tuscany,85
Burgundy,85
Veneto,85
Piedmont,85
Galicia,85
Oregon,85
California,85
Virginia,85
California,85
Veneto,85
Península de Setúbal,85
Veneto,85
Central Italy,85
Veneto,85
Vinho Espumante de Qualidade,85
Veneto,85
Loire Valley,85
Veneto,85
Piedmont,85
Burgundy,85
California,85
Lolol Valley,85
California,85
Veneto,85
Mendoza Province,85
Virginia,85
Maule Valley,85
Veneto,85
Piedmont,85
California,85
Colchagua Valley,85
Veneto,85
California,85
Burgundy,85
Veneto,85
Mendoza Province,85
California,85
Languedoc-Roussillon,85
Aconcagua Valley,85
Provence,85
Peloponnese,85
Alsace,85
Central Valley,85
Beaujolais,85
Northern Spain,85
Languedoc-Roussillon,85
Beaujolais,85
Catalonia,85
Beaujolais,85
California,85
Maule Valley,85
Beaujolais,85
Tuscany,85
Languedoc-Roussillon,85
Alentejano,85
Beaujolais,85
Provence,85
Península de Setúbal,85
Tuscany,85
Washington,85
Languedoc-Roussillon,85
California,85
Alsace,85
Bordeaux,85
Lisboa,85
New York,85
Alentejano,85
America,85
Bordeaux,85
Alsace,85
New York,85
Alsace,85
Colchagua Valley,85
New York,85
California,85
Central Italy,85
Lisboa,85
Alsace,85
California,85
Casablanca Valley,85
Provence,85
Piedmont,85
Maipo Valley,85
Alsace,85
Rapel Valley,85
Colchagua Valley,85
Península de Setúbal,85
New York,85
Central Italy,85
California,85
Catalonia,85
California,85
Central Italy,85
Mendoza Province,85
Central Italy,85
Bairrada,85
Northern Spain,85
California,85
Southwest France,85
Lisboa,85
Southwest France,85
California,85
Tuscany,85
California,85
Tuscany,85
Maipo Valley,85
Sicily & Sardinia,85
California,85
Bordeaux,85
Washington,85
Colchagua Valley,85
Sicily & Sardinia,85
Washington,85
California,85
Colchagua Valley,85
Limarí Valley,85
Washington,85
Central Valley,85
Bordeaux,85
Northeastern Italy,85
Alentejano,85
Burgundy,85
Veneto,85
California,85
Veneto,85
California,85
Mendoza Province,85
Northeastern Italy,85
California,85
Alsace,85
Northeastern Italy,85
California,85
Mendoza Province,85
California,85
Alsace,85
Veneto,85
California,85
Washington,85
Southwest France,85
California,85
Washington,85
Maule Valley,85
Beaujolais,85
California,85
Central Valley,85
Chile,85
New York,85
San Clemente,85
Colchagua Valley,85
Central Valley,85
Beaujolais,85
Washington,85
New York,85
Beaujolais,85
California,85
Marlborough,85
Washington,85
New York,85
California,85
Tuscany,85
Piedmont,85
Casablanca Valley,85
Central Valley,85
Beaujolais,85
Southwest France,85
Piedmont,85
California,85
Mendoza Province,85
Northern Spain,85
Piedmont,85
California,85
Northern Spain,85
Levante,85
Mendoza Province,85
Other,85
Western Australia,85
New York,85
Tuscany,85
California,85
,85
Tuscany,85
California,85
Limarí Valley,85
California,85
New York,85
Rhône Valley,85
New York,85
California,85
Colchagua Valley,85
California,85
New York,85
Tuscany,85
Elqui Valley,85
Tuscany,85
New York,85
Washington,85
California,85
Bordeaux,85
California,85
Northern Spain,85
Tuscany,85
Bordeaux,85
Other,85
New York,85
Bordeaux,85
Mendoza Province,85
Northern Spain,85
Levante,85
Bordeaux,85
California,85
Andalucia,85
Idaho,85
Northern Spain,85
Mendoza Province,85
Washington,85
California,85
Central Spain,85
Colchagua Valley,85
New York,85
Bordeaux,85
California,85
Bordeaux,85
Languedoc-Roussillon,85
Central Valley,85
Tuscany,85
New York,85
California,85
Curicó Valley,85
Tuscany,85
Casablanca Valley,85
Australia Other,85
Alentejano,85
Washington,85
California,85
Washington,85
Rapel Valley,85
Virginia,85
New York,85
Marlborough,85
California,85
Alsace,85
Provence,85
Sicily & Sardinia,85
Other,85
Northern Spain,85
Southern Italy,85
Virginia,85
Washington,85
Northeastern Italy,85
Central Valley,85
Northeastern Italy,85
California,85
Other,85
Curicó Valley,85
Washington,85
California,85
Loire Valley,85
Northeastern Italy,85
California,85
Central Otago,85
California,85
Colchagua Valley,85
Other,85
Marlborough,85
Australia Other,85
Aconcagua Valley,85
Mendoza Province,85
California,85
Mendoza Province,85
California,85
Burgundy,85
Italy Other,85
Alentejano,85
Burgundy,85
Mosel,85
Burgundy,85
California,85
Northern Spain,85
Vinho Verde,85
Burgundy,85
Vinho Verde,85
Port,85
Alentejano,85
Burgundy,85
Port,85
Oregon,85
Port,85
Burgundy,85
California,85
Veneto,85
Alentejano,85
California,85
Lisboa,85
Burgundy,85
Northern Spain,85
Southern Italy,85
California,85
Southern Italy,85
Mendoza Province,85
California,85
Port,85
California,85
Washington,85
Central Valley,85
Southwest France,85
California,85
Bío Bío Valley,85
Western Cape,85
Limarí Valley,85
Washington,85
Limarí Valley,85
California,85
Washington,85
Western Cape,85
California,85
Curicó Valley,85
Port,85
Limarí Valley,85
Tuscany,85
Elqui Valley,85
Virginia,85
Alsace,85
Levante,85
California,85
Alsace,85
Oregon,85
California,85
Alsace,85
Sicily & Sardinia,85
Mendoza Province,85
Spain Other,85
Northern Spain,85
Mendoza Province,85
Virginia,85
Alsace,85
Alentejano,85
Alsace,85
Sicily & Sardinia,85
Oregon,85
North Carolina,85
Sicily & Sardinia,85
Mendoza Province,85
Alsace,85
Tejo,85
Sicily & Sardinia,85
Oregon,85
California,85
Virginia,85
Maipo Valley,85
California,85
Colchagua Valley,85
Virginia,85
Sicily & Sardinia,85
Central Valley,85
Southwest France,85
Oregon,85
California,85
Weinviertel,85
Sicily & Sardinia,85
Oregon,85
Casablanca Valley,85
California,85
Curicó Valley,85
Virginia,85
Sicily & Sardinia,85
California,85
Beaujolais,85
Oregon,85
Maule Valley,85
Lisboa,85
Oregon,85
Sicily & Sardinia,85
Oregon,85
Bío Bío Valley,85
South Australia,85
Alentejano,85
Catalonia,85
Central Spain,85
Bordeaux,85
California,85
Loire Valley,85
Oregon,85
Northern Spain,85
California,85
Maipo Valley,85
Douro,85
Tejo,85
Alentejano,85
California,85
Bordeaux,85
California,85
Loire Valley,85
Southwest France,85
Provence,85
Veneto,85
Mendoza Province,85
Southwest France,85
Oregon,85
Washington,85
Hawke's Bay,85
Oregon,85
Levante,85
Southern Italy,85
California,85
Washington,85
California,85
Sicily & Sardinia,85
California,85
Washington,85
Northern Spain,85
